"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 03 11:23:15 GMT 2023","Tue Jan 03 11:23:23 GMT 2023","8435","","tests\search.test.ts","Home Page","","","should verify the title of the page",""
"passed","Tue Jan 03 11:22:13 GMT 2023","Tue Jan 03 11:22:21 GMT 2023","8570","","tests\github-search.test.ts","Home Page","","","should verify the title of the page",""
